paperID,studyID,cond,effType,measure,comparison,indSamp,pubStat,studySample,domain,typeCoOcc,numCoOcc,supralim,typeRelational,sourceRelational,coOccRelOrder,depend,expImpOrder,impMeasure,eval,withinBetween,effSource,effOrig,effFinal,N1,N2,N,effFinalG,varD,J,varG
Akalis_2008,2,NA,impAB,Implicit,AB,"A-B, D-C",Published,Students,Novel shapes,Wins/losses,120,1,Social role information,Language,"Relational first, co-occurrence second",Relational modifies co-occurrence,One measure only,Implicit Association Test,Evaluative,Within,t statistic,"t(82) = 2.36, p < .05",0.26,83,NA,83,0.257585139,0.012455422,0.990853659,0.012228621
Akalis_2008,2,NA,impAC,Implicit,AC,"A-B, D-C",Published,Students,Novel shapes,Wins/losses,120,1,Social role information,Language,"Relational first, co-occurrence second",Relational modifies co-occurrence,One measure only,Implicit Association Test,Evaluative,Between,Mean and SD,"M[1] = 0.00, SD = 0.32, N = 83; M[2] = -0.20, SD = 0.39, N = 78",0.51,83,78,161,0.507590551,0.02567647,0.995283019,0.02543481
Akalis_2008,2,NA,impDB,Implicit,DB,"A-B, D-C",Published,Students,Novel shapes,Wins/losses,120,1,Social role information,Language,"Relational first, co-occurrence second",Relational modifies co-occurrence,One measure only,Implicit Association Test,Evaluative,Between,Mean and SD,"M[2] = 0.01, SD = 0.35, N = 78; M[1] = -0.12, SD = 0.38, N = 83",0.34,78,83,161,0.338393701,0.025227712,0.995283019,0.024990276
Akalis_2008,2,NA,impDC,Implicit,DC,"A-B, D-C",Published,Students,Novel shapes,Wins/losses,120,1,Social role information,Language,"Relational first, co-occurrence second",Relational modifies co-occurrence,One measure only,Implicit Association Test,Evaluative,Within,t statistic,"t(77) = 3.05, p < .005",0.35,78,NA,78,0.346534653,0.013605769,0.99025974,0.013342013
Bading_2020,1,NA,expAB,Explicit,AB,NA,Published,Students,Novel social groups,Sounds,20,1,Causal information,Language + Observation,Simultaneous,Relational modifies co-occurrence,Implicit first,Implicit Association Test,Evaluative,Within,F statistic,"F(1, 63) = 161.42, p < .001, eta squared = .594",1.6,64,NA,64,1.580566802,0.035625,0.988095238,0.034781835
Bading_2020,1,NA,expAC,Explicit,AC,NA,Published,Students,Novel social groups,Sounds,20,1,Causal information,Language + Observation,Simultaneous,Relational modifies co-occurrence,Implicit first,Implicit Association Test,Evaluative,Within,F statistic,"F(1, 63) = 31.90, p < .001, eta squared = .232",0.71,64,NA,64,0.701376518,0.019563281,0.988095238,0.019100261
Bading_2020,1,NA,expDB,Explicit,DB,NA,Published,Students,Novel social groups,Sounds,20,1,Causal information,Language + Observation,Simultaneous,Relational modifies co-occurrence,Implicit first,Implicit Association Test,Evaluative,Within,F statistic,"F(1, 63) = 100.47, p < .001, eta squared = .468",1.26,64,NA,64,1.244696356,0.028028125,0.988095238,0.027364761
Bading_2020,1,NA,expDC,Explicit,DC,NA,Published,Students,Novel social groups,Sounds,20,1,Causal information,Language + Observation,Simultaneous,Relational modifies co-occurrence,Implicit first,Implicit Association Test,Evaluative,Within,F statistic,"F(1, 63) = 12.99, p = .001, eta squared = .093",0.45,64,NA,64,0.444534413,0.017207031,0.988095238,0.016799779
Bading_2020,1,NA,impAB,Implicit,AB,"A-B & D-C, A-C & D-B",Published,Students,Novel social groups,Sounds,20,1,Causal information,Language + Observation,Simultaneous,Relational modifies co-occurrence,Implicit first,Implicit Association Test,Evaluative,Within,t statistic,"t(31) = 4.10, p < .001",0.74,32,NA,32,0.721344538,0.03980625,0.975806452,0.037903441
Bading_2020,1,NA,impAC,Implicit,AC,"A-B & D-C, A-C & D-B",Published,Students,Novel social groups,Sounds,20,1,Causal information,Language + Observation,Simultaneous,Relational modifies co-occurrence,Implicit first,Implicit Association Test,Evaluative,Within,t statistic,"t(31) = 2.63, p = .007",0.47,32,NA,32,0.458151261,0.034701563,0.975806452,0.033042766
